二華園印刷,,,,,封筒 長型3号 糊付 (料金後納入り),中 1000枚/式 2022.11月より単価改正,,1354,13500,式,,式,1000,,事務所,,,,
二華園印刷,,,,,封筒,,長形4号 小,1355,,式,,式,1,式,,,,,
株式会社西郡商店,,,,,窓ガラス（5枚入） 2型（t3x200x300),SA14-0006B,200,1361,,2970,,2970,1,,,,,,
株式会社西郡商店,,,,,ロングノズル（超硬）,Φ5xL110 SA21-5315,200,1362,,20160,,20160,1,,,,,,
株式会社西郡商店,,,,,ブラストホース（ブレード）,S3220-1202 Φ12（1/2B） 1.4ｍ,200,1366,,2200,,2200,1,,,,,,
株式会社西郡商店,,,,,窓ガラス（発送用） 2型（Ｔ3x200x300),SA14-0006Ｋ,200,1367,,1590,,1590,1,,,,,,
株式会社西郡商店,,,,,窓用保護シート 2型用（200x300）,ＳＡ14-0086,200,1368,,660,,660,1,,,,,,
株式会社西郡商店,,,,,腰部サポートウェア ラクニエ,L,800,1375,,19760,,19760,1,,,,,,
株式会社西郡商店,,,,,HIKOKI グラインダー,,G15YE3,1379,,台,,台,1,台,備品倉庫,,,,
株式会社西郡商店,,,,,ブレイン 涼感ウェア,BR552,000,1393,,3297,,3297,1,,,,,,
株式会社西郡商店,,,,,TRUSCO ネットパレット用カバー,雨天時の工場間移動で使用 トライ用,TNPC-0810S,1409,,枚,,枚,1,枚,事務所,,,,
日光物産株式会社,,,,,白ウエス　4ｋｇ,最少ロット 5袋 4/21以降,,1415,920,袋,,袋,2,袋,廊下,,,,2
日光物産株式会社,,,,,皮手,2022/10/1以降,輸入床背縫い　No.8703 無地,1416,2880,双,,双,12,ダース,廊下,,,,3
ニッシン産業株式会社,,,,,スペッシーボンド,2023.07.20,72本＝1箱,1429,452,本,,本,1,,事務所,,,,11
野口石油株式会社,,,,,エンジンオイル ガソリン用,,４Ｌ ウエルダー用,1478,,缶,,缶,1,,,,,,
野口石油株式会社,,,,,マルチノックグリス2号(2.5KG）,,,1479,1260,缶,,缶,1,缶,フラン/バラシ用モーターのグリス,,,,
備商株式会社,,,,,生型硬度計 SKH型,300含む,運賃￥1,1562,,66300,,66300,1,,,,,,
備商株式会社,,,,,パッキンセット（1-5 9-18）,APS造型機 ヘッﾄﾞ部 （APS4 B069）部品,000から値引き¥7.700を引いた額,1624,,47300,,47300,1,,,,,,
備商株式会社,,,,,パターンシャトルCY,APS造型機 形交換装置部（APS C453）部品,000,1639,,300000,,300000,1,,,,,,
備商株式会社,,,,,両頭グラインダー用 集塵機,FXN-5B（配管ダクト含む）,000,1641,,1130000,,1130000,1,,,,,,
備鋳産業株式会社,,,,,PENCIL BRUSH,発光分析の掃除用ブラシ,913922 91-BS,1679,3300,個,,個,1,個,事務所,,,,
備鋳産業株式会社,,,,,PR剤 硬化剤,,NPO,1787,570,個,,個,1,個,事務所,,,,6
備鋳産業株式会社,,,,,PR剤  主剤,,,1788,1830,個,,個,1,個,事務所,,,,7
備鋳産業株式会社,,,,,ボーメー計,,,1800,6600,本,,本,1,本,,,,,
平戸金属販売株式会社,,,,,ウェッジスプレー,,,1856,2780,本,,本,6,箱,事務所,,,,3
福山ゴム工業㈱履物営業部,,,,,キャプテンプロセフティ#211,R04.02.21発注分から,24.0cm,1874,2600,足,,足,1,足,事務所,,,,
