友和け001-130215　替,友和01-01,ゆうわとりょう,友和塗料㈱,70,ゲルチョーク　　替え芯,,DX-CBGC-BUW,,100,本,,本,,,事務所,,,,,,,,,,,,,,,,,
友和 220920-01,友和01-01,ゆうわとりょう,友和塗料㈱,100,軍手,,,2022/11/1以降　10ダース単位で注文,550,ダース,1,ダース,,,廊下,2022/9/21,,値上,3日,,,,,,,,,,,,,
友和え002-00,友和01-01,ゆうわとりょう,友和塗料㈱,70,エポニックス　シンナーＢ,,,,6000,缶,,,,,指定置場,,,,3日,,,,,,,,,,,,,
友和え001-00,友和01-01,ゆうわとりょう,友和塗料㈱,70,エポニックス　下塗り,,＃20　主剤・硬化剤のセット,,19000,缶,1,缶,,,指定置場,,,,3日,,,,,,,,,,,,,
友和え2200308,友和01-01,ゆうわとりょう,友和塗料㈱,70,エフコート201シンナー,エフコートシンナー,トウペ　FCシンナー同等品,,5200,缶,1,缶,,,指定置場,2022/3/8,,値上げ,3日,,,,,,,,,,,,,
友和　151209,友和01-01,ゆうわとりょう,友和塗料㈱,70,リターダーシンナー,,16ℓ,,7500,缶,,缶,,,,,,,2日,,,,,,,,,,,,,
友和　160129,友和01-01,ゆうわとりょう,友和塗料㈱,70,ケイギンシルバー,,4k,,4200,缶,,缶,,,指定置場,,,,2日,,,,,,,,,,,,,
友和　170210-01,友和01-01,ゆうわとりょう,友和塗料㈱,70,段付き下げ缶 2.5ℓ,塗料さげ缶,,,600,個,,個,,,塗装場,,,,2日,,,,,,,,,,,,,
友和　170210-02,友和01-01,ゆうわとりょう,友和塗料㈱,70,らくらくカートリッジ 2型,さげ缶カバー　2.5ℓ,,,100,個,1,箱,15,個,塗装場,,,,2日,,,,,,,,,,,,,
友和 181121-01-送,友和01-01,ゆうわとりょう,友和塗料㈱,,ラッカーシンナー送料,,,,1105,式,,式,,,東進工業,,,,2日,,,,,,,,,,,,,
友和 240711-01,友和01-01,ゆうわとりょう,友和塗料㈱,70,ラッカースプレーブラック,24本で注文,H62-5034 300ml,送料別で注文書に記載,360,缶,,缶,,,東進工業,2024/7/11,,,2日,,,,,,,,,,,,,
友和 250227,友和01-01,ゆうわとりょう,友和塗料㈱,70,ラッカースプレーブラック　送料,2025/3/1より,,送料別で注文書に記載,1020,式,,式,,,東進工業,2025/2/27,,値上げ,2日,,,,,,,,,,,,,
友和 220912-04,友和01-01,ゆうわとりょう,友和塗料㈱,70,アネスト岩田　スプレーガン＋塗料カップセット,10月出荷分～,,,19080,式,,式,,,塗装場,2022/9/12,,値上げ,,,,,,,,,,,,,,
友和 220912-05,友和01-01,ゆうわとりょう,友和塗料㈱,70,アネスト岩田　スプレーガン本体のみ,10月出荷分～,WIDER2-20R1S,,15580,丁,,丁,,,塗装場,2022/9/12,,値上げ,,,,,,,,,,,,,,
友和 220912-06,友和01-01,ゆうわとりょう,友和塗料㈱,70,アネスト岩田　スプレーガン用カップ,10月出荷分～,PC-1,,3500,個,,個,,,塗装場,2022/9/12,,値上げ,,,,,,,,,,,,,,
