"id","name","file_path","memo","del_flg","created_at","updated_at","movie_tag_id"
"1","会議の録音.mp4","YVYqzkmu4P0?si=kJRyD1A8FqK5npkG",,"0","2023-04-12",NULL,"1"
"2","打合せ-会議の録音.mp4","X2D1-kiUvjk?si=oyXz5TWrkRji-43M",,"0","2023-05-16","2024-06-17 06:58:23","1"
"3","お打ち合わせ-会議の録音.mp4","RJf1swRa7XM?si=Sav7tm2AmTI6cqd_",,"0","2023-05-25","2024-06-17 06:58:23","1"
"4","お打ち合わせ(進捗会)-会議の録音.mp4","cfqlhC5qhLg?si=0F1-z8zoWTdi3tTc",,"0","2023-06-07","2024-07-29 05:03:14","11"
"5","打合せ(2023_06_07進捗報告)-会議の録音.mp4","cfqlhC5qhLg?si=wmq_hX-aeASFzwgO",,"0","2023-06-07","2024-06-17 06:58:23","1"
"6","打合せ（2023_6_9データ移行)-会議の録音.mp4","Inuotdll718?si=kLOIMM_sidAW51vu",,"0","2023-06-09","2024-06-17 06:58:23","1"
"7","打合せ(6_13進捗)-会議の録音.mp4","1rrXHh6EVb0?si=hMpzJxWbRHe_VgE5",,"0","2023-06-13","2024-06-17 06:58:23","1"
"8","お打ち合わせ(2023_6_14データ移行)-会議の録音.mp4","jwN8fu7_wqs?si=siGnuFb78hbrT-ax",,"0","2023-06-14","2024-06-17 06:58:23","1"
"9","打合せ(進捗会議).mp4","wSvvAVGvW_w?si=iihcrZpEJ8navOyT",,"0","2023-06-20",NULL,"1"
"10","EDI関連設定(6_26)-会議の録音.mp4","IcDOk6dksCY?si=o7TZ-Opkj2mdx_Zy",,"0","2023-06-26","2024-06-17 06:58:23","1"
"11","定例会(2023_06_27)-会議の録音.mp4","DvGR7LLp_yM?si=KYnRUweEYO4v1GMg",,"0","2023-06-27","2024-06-17 06:58:23","1"
"12","アキオカ様進捗打合せ_会議の録音.mp4","nIX3jmkPlyg?si=gaMusqmRFbD0BJGW",,"0","2023-07-06","2024-06-17 05:20:43","1"
"13","アキオカ様進捗打合せ_会議の録音.mp4","_TvR_ktiKcs?si=IaEF4A2s6avFA3nJ",,"0","2023-07-10","2024-06-17 05:20:43","1"
"14","アキオカ様進捗打合せ_会議の録音.mp4","788Mbk3lQ_M?si=UiVtHuBH9XdPWL-0",,"0","2023-07-18","2024-06-17 05:20:43","1"
"15","進捗会議(7_26)-会議の録音.mp4","uY_XiwRMp6Y?si=IbItiN4SbpzZbdRv",,"0","2023-07-26","2024-06-17 06:58:23","1"
"16","打合せ(7_27)-会議の録音.mp4","NpymJz1QTA8?si=PkteSRpfcU1xR3Eb",,"0","2023-07-27","2024-06-17 06:58:23","1"
